p_name,m_name
ブニャット,みずのはどう
ピンプク,みずのはどう
ミカルゲ,みずのはどう
ゴンベ,みずのはどう
ルカリオ,みずのはどう
ヒポポタス,みずのはどう
カバルドン,みずのはどう
ケイコウオ,みずのはどう
ネオラント,みずのはどう
タマンタ,みずのはどう
ユキカブリ,みずのはどう
ユキノオー,みずのはどう
ベロベルト,みずのはどう
トゲキッス,みずのはどう
グレイシア,みずのはどう
ユキメノコ,みずのはどう
ユクシー,みずのはどう
エムリット,みずのはどう
アグノム,みずのはどう
パルキア,みずのはどう
フィオネ,みずのはどう
マナフィ,みずのはどう
アルセウス,みずのはどう
ミジュマル,みずのはどう
フタチマル,みずのはどう
ダイケンキ,みずのはどう
ヒヤップ,みずのはどう
ヒヤッキー,みずのはどう
オタマロ,みずのはどう
ガマガル,みずのはどう
ガマゲロゲ,みずのはどう
プロトーガ,みずのはどう
アバゴーラ,みずのはどう
コアルヒー,みずのはどう
スワンナ,みずのはどう
バニプッチ,みずのはどう
バニリッチ,みずのはどう
バイバニラ,みずのはどう
プルリル,みずのはどう
ブルンゲル,みずのはどう
ママンボウ,みずのはどう
クマシュン,みずのはどう
ツンベアー,みずのはどう
フリージオ,みずのはどう
マッギョ,みずのはどう
ケルディオ,みずのはどう
ケロマツ,みずのはどう
ゲコガシラ,みずのはどう
ゲッコウガ,みずのはどう
カメテテ,みずのはどう
ガメノデス,みずのはどう
クズモー,みずのはどう
ドラミドロ,みずのはどう
ウデッポウ,みずのはどう
ブロスター,みずのはどう
アマルス,みずのはどう
アマルルガ,みずのはどう
ヌメラ,みずのはどう
ヌメイル,みずのはどう
ヌメルゴン,みずのはどう
カチコール,みずのはどう
クレベース,みずのはどう
オンバット,みずのはどう
オンバーン,みずのはどう
ボルケニオン,みずのはどう
アシマリ,みずのはどう
オシャマリ,みずのはどう
アシレーヌ,みずのはどう
ヨワシ（たんどくのすがた）,みずのはどう
ヨワシ（むれのすがた）,みずのはどう
ヒドイデ,みずのはどう
ドヒドイデ,みずのはどう
シズクモ,みずのはどう
オニシズクモ,みずのはどう
グソクムシャ,みずのはどう
ハギギシリ,みずのはどう
ジジーロン,みずのはどう
ジャラランガ,みずのはどう
カプ・レヒレ,みずのはどう
サトシゲッコウガ,みずのはどう
ゼニガメ,ミラーコート
カメール,ミラーコート
カメックス,ミラーコート
メノクラゲ,ミラーコート
ドククラゲ,ミラーコート
ソーナンス,ミラーコート
キリンリキ,ミラーコート
サニーゴ,ミラーコート
マンタイン,ミラーコート
スイクン,ミラーコート
ミズゴロウ,ミラーコート
ヌマクロー,ミラーコート
ラグラージ,ミラーコート
バネブー,ミラーコート
ブーピッグ,ミラーコート
リリーラ,ミラーコート
ユレイドル,ミラーコート
ヒンバス,ミラーコート
ミロカロス,ミラーコート
ソーナノ,ミラーコート
カラナクシ,ミラーコート
トリトドン,ミラーコート
ミミロップ,ミラーコート
タマンタ,ミラーコート
ジバコイル,ミラーコート
グレイシア,ミラーコート
ツタージャ,ミラーコート
ジャノビー,ミラーコート
ジャローダ,ミラーコート
ゴチム,ミラーコート
ゴチミル,ミラーコート
ゴチルゼル,ミラーコート
バニプッチ,ミラーコート
バニリッチ,ミラーコート
バイバニラ,ミラーコート
ママンボウ,ミラーコート
アマルス,ミラーコート
アマルルガ,ミラーコート
カチコール,ミラーコート
クレベース,ミラーコート
シズクモ,ミラーコート
オニシズクモ,ミラーコート
ウツロイド,ミラーコート
コイル,ミラーショット
レアコイル,ミラーショット
フォレトス,ミラーショット
ジバコイル,ミラーショット
バニプッチ,ミラーショット
バニリッチ,ミラーショット
バイバニラ,ミラーショット
テッシード,ミラーショット
ナットレイ,ミラーショット
ギアル,ミラーショット
ギギアル,ミラーショット
ギギギアル,ミラーショット
クレッフィ,ミラーショット
ネクロズマ,ミラーショット
マギアナ,ミラーショット
コダック,みらいよち
ゴルダック,みらいよち
ユンゲラー,みらいよち
フーディン,みらいよち
ヤドン,みらいよち
ヤドラン,みらいよち
スリーパー,みらいよち
バリヤード,みらいよち
ラプラス,みらいよち
ミュウツー,みらいよち
トゲピー,みらいよち
トゲチック,みらいよち
ネイティ,みらいよち
ネイティオ,みらいよち
マリル,みらいよち
マリルリ,みらいよち
エーフィ,みらいよち
ヤドキング,みらいよち
キリンリキ,みらいよち
デリバード,みらいよち
ルギア,みらいよち
ホウオウ,みらいよち
セレビィ,みらいよち
ラルトス,みらいよち
キルリア,みらいよち
サーナイト,みらいよち
バネブー,みらいよち
ブーピッグ,みらいよち
ルナトーン,みらいよち
ドジョッチ,みらいよち
ナマズン,みらいよち
ポワルン,みらいよち
サマヨール,みらいよち
チリーン,みらいよち
アブソル,みらいよち
ジラーチ,みらいよち
ナエトル,みらいよち
リーシャン,みらいよち
ドーミラー,みらいよち
ドータクン,みらいよち
マネネ,みらいよち
トゲキッス,みらいよち
エルレイド,みらいよち
ヨノワール,みらいよち
ユクシー,みらいよち
エムリット,みらいよち
アグノム,みらいよち
クレセリア,みらいよち
アルセウス,みらいよち
ムンナ,みらいよち
ムシャーナ,みらいよち
コロモリ,みらいよち
ココロモリ,みらいよち
シンボラー,みらいよち
ゴチム,みらいよち
ゴチミル,みらいよち
ゴチルゼル,みらいよち
ユニラン,みらいよち
ダブラン,みらいよち
ランクルス,みらいよち
マフォクシー,みらいよち
ニャオニクス,みらいよち
ヤレユータン,みらいよち
ピッピ,ムーンフォース
アローラロコン,ムーンフォース
アローラキュウコン,ムーンフォース
ナゾノクサ,ムーンフォース
ホーホー,ムーンフォース
ヨルノズク,ムーンフォース
サーナイト,ムーンフォース
チルタリス,ムーンフォース
ルナトーン,ムーンフォース
クレセリア,ムーンフォース
フラベベ,ムーンフォース
フラエッテ,ムーンフォース
フラージェス,ムーンフォース
シュシュプ,ムーンフォース
フレフワン,ムーンフォース
ニンフィア,ムーンフォース
メレシー,ムーンフォース
ゼルネアス,ムーンフォース
ディアンシー,ムーンフォース
アシマリ,ムーンフォース
オシャマリ,ムーンフォース
アシレーヌ,ムーンフォース
アブリー,ムーンフォース
アブリボン,ムーンフォース
ネマシュ,ムーンフォース
マシェード,ムーンフォース
カプ・レヒレ,ムーンフォース
ルナアーラ,ムーンフォース
バタフリー,むしのさざめき
モルフォン,むしのさざめき
ストライク,むしのさざめき
レディバ,むしのさざめき
レディアン,むしのさざめき
ハッサム,むしのさざめき
アゲハント,むしのさざめき
ドクケイル,むしのさざめき
アメモース,むしのさざめき
ツチニン,むしのさざめき
テッカニン,むしのさざめき
ヌケニン,むしのさざめき
バルビート,むしのさざめき
イルミーゼ,むしのさざめき
ビブラーバ,むしのさざめき
コロトック,むしのさざめき
ガーメイル,むしのさざめき
ミツハニー,むしのさざめき
ビークイン,むしのさざめき
メガヤンマ,むしのさざめき
クルミル,むしのさざめき
クルマユ,むしのさざめき
ハハコモリ,むしのさざめき
カブルモ,むしのさざめき
シュバルゴ,むしのさざめき
バチュル,むしのさざめき
デンチュラ,むしのさざめき
チョボマキ,むしのさざめき
アギルダー,むしのさざめき
メラルバ,むしのさざめき
ウルガモス,むしのさざめき
ゲノセクト,むしのさざめき
ビビヨン,むしのさざめき
クワガノン,むしのさざめき
アブリー,むしのさざめき
アブリボン,むしのさざめき
フェローチェ,むしのさざめき
ツボツボ,むしのていこう
バルビート,むしのていこう
イルミーゼ,むしのていこう
コロボーシ,むしのていこう
コロトック,むしのていこう
ガーメイル,むしのていこう
ビークイン,むしのていこう
スコルピ,むしのていこう
ドラピオン,むしのていこう
メガヤンマ,むしのていこう
グライオン,むしのていこう
クルミル,むしのていこう
クルマユ,むしのていこう
ハハコモリ,むしのていこう
フシデ,むしのていこう
ホイーガ,むしのていこう
ペンドラー,むしのていこう
イシズマイ,むしのていこう
イワパレス,むしのていこう
カブルモ,むしのていこう
シュバルゴ,むしのていこう
バチュル,むしのていこう
デンチュラ,むしのていこう
チョボマキ,むしのていこう
アギルダー,むしのていこう
アイアント,むしのていこう
メラルバ,むしのていこう
ウルガモス,むしのていこう
ゲノセクト,むしのていこう
ビビヨン,むしのていこう
アブリー,むしのていこう
アブリボン,むしのていこう
コソクムシ,むしのていこう
グソクムシャ,むしのていこう
ナゾノクサ,メガドレイン
クサイハナ,メガドレイン
ラフレシア,メガドレイン
モンジャラ,メガドレイン
カブト,メガドレイン
カブトプス,メガドレイン
キレイハナ,メガドレイン
ハネッコ,メガドレイン
ポポッコ,メガドレイン
ワタッコ,メガドレイン
ヒマナッツ,メガドレイン
キマワリ,メガドレイン
キモリ,メガドレイン
ジュプトル,メガドレイン
ジュカイン,メガドレイン
アゲハント,メガドレイン
ハスボー,メガドレイン
ルンパッパ,メガドレイン
キノココ,メガドレイン
キノガッサ,メガドレイン
ロゼリア,メガドレイン
リリーラ,メガドレイン
ユレイドル,メガドレイン
ハヤシガメ,メガドレイン
ドダイトス,メガドレイン
スボミー,メガドレイン
ロズレイド,メガドレイン
モジャンボ,メガドレイン
ツタージャ,メガドレイン
ジャノビー,メガドレイン
ジャローダ,メガドレイン
モンメン,メガドレイン
エルフーン,メガドレイン
チュリネ,メガドレイン
ドレディア,メガドレイン
マラカッチ,メガドレイン
タマゲタケ,メガドレイン
モロバレル,メガドレイン
チョボマキ,メガドレイン
アギルダー,メガドレイン
ネマシュ,メガドレイン
マシェード,メガドレイン
スナバァ,メガドレイン
シロデスナ,メガドレイン
ダダリン,メガドレイン
テッカグヤ,メガドレイン
オドリドリ（ぱちぱちスタイル）,めざめるダンス
オドリドリ（ふらふらスタイル）,めざめるダンス
オドリドリ（まいまいスタイル）,めざめるダンス
オドリドリ（めらめらスタイル）,めざめるダンス
フシギダネ,めざめるパワー
フシギソウ,めざめるパワー
フシギバナ,めざめるパワー
ヒトカゲ,めざめるパワー
リザード,めざめるパワー
リザードン,めざめるパワー
ゼニガメ,めざめるパワー
カメール,めざめるパワー
カメックス,めざめるパワー
バタフリー,めざめるパワー
スピアー,めざめるパワー
ポッポ,めざめるパワー
ピジョン,めざめるパワー
ピジョット,めざめるパワー
アローラコラッタ,めざめるパワー
コラッタ,めざめるパワー
アローララッタ,めざめるパワー
ラッタ,めざめるパワー
オニスズメ,めざめるパワー
オニドリル,めざめるパワー
アーボ,めざめるパワー
アーボック,めざめるパワー
ピカチュウ,めざめるパワー
アローラライチュウ,めざめるパワー
ライチュウ,めざめるパワー
アローラサンド,めざめるパワー
サンド,めざめるパワー
アローラサンドパン,めざめるパワー
サンドパン,めざめるパワー
ニドラン♀,めざめるパワー
ニドリーナ,めざめるパワー
ニドクイン,めざめるパワー
ニドラン♂,めざめるパワー
ニドリーノ,めざめるパワー
ニドキング,めざめるパワー
ピッピ,めざめるパワー
ピクシー,めざめるパワー
アローラロコン,めざめるパワー
ロコン,めざめるパワー
アローラキュウコン,めざめるパワー
キュウコン,めざめるパワー
プリン,めざめるパワー
プクリン,めざめるパワー
ズバット,めざめるパワー
ゴルバット,めざめるパワー
ナゾノクサ,めざめるパワー
クサイハナ,めざめるパワー
ラフレシア,めざめるパワー
パラス,めざめるパワー
パラセクト,めざめるパワー
コンパン,めざめるパワー
モルフォン,めざめるパワー
アローラディグダ,めざめるパワー
ディグダ,めざめるパワー
アローラダグトリオ,めざめるパワー
ダグトリオ,めざめるパワー
アローラニャース,めざめるパワー
ニャース,めざめるパワー
アローラペルシアン,めざめるパワー
ペルシアン,めざめるパワー
コダック,めざめるパワー
ゴルダック,めざめるパワー
マンキー,めざめるパワー
オコリザル,めざめるパワー
ガーディ,めざめるパワー
ウインディ,めざめるパワー
ニョロモ,めざめるパワー
ニョロゾ,めざめるパワー
ニョロボン,めざめるパワー
ケーシィ,めざめるパワー
ユンゲラー,めざめるパワー
フーディン,めざめるパワー
ワンリキー,めざめるパワー
ゴーリキー,めざめるパワー
カイリキー,めざめるパワー
マダツボミ,めざめるパワー
ウツドン,めざめるパワー
ウツボット,めざめるパワー
メノクラゲ,めざめるパワー
ドククラゲ,めざめるパワー
アローライシツブテ,めざめるパワー
イシツブテ,めざめるパワー
アローラゴローン,めざめるパワー
ゴローン,めざめるパワー
アローラゴローニャ,めざめるパワー
ゴローニャ,めざめるパワー
ポニータ,めざめるパワー
ギャロップ,めざめるパワー
ヤドン,めざめるパワー
ヤドラン,めざめるパワー
コイル,めざめるパワー
レアコイル,めざめるパワー
カモネギ,めざめるパワー
ドードー,めざめるパワー
ドードリオ,めざめるパワー
パウワウ,めざめるパワー
ジュゴン,めざめるパワー
アローラベトベター,めざめるパワー
ベトベター,めざめるパワー
アローラベトベトン,めざめるパワー
ベトベトン,めざめるパワー
シェルダー,めざめるパワー
パルシェン,めざめるパワー
ゴース,めざめるパワー
ゴースト,めざめるパワー
ゲンガー,めざめるパワー
イワーク,めざめるパワー
スリープ,めざめるパワー
スリーパー,めざめるパワー
クラブ,めざめるパワー
キングラー,めざめるパワー
ビリリダマ,めざめるパワー
マルマイン,めざめるパワー
タマタマ,めざめるパワー
アローラナッシー,めざめるパワー
ナッシー,めざめるパワー
カラカラ,めざめるパワー
アローラガラガラ,めざめるパワー
ガラガラ,めざめるパワー
サワムラー,めざめるパワー
エビワラー,めざめるパワー
ベロリンガ,めざめるパワー
ドガース,めざめるパワー
マタドガス,めざめるパワー
サイホーン,めざめるパワー
サイドン,めざめるパワー
ラッキー,めざめるパワー
モンジャラ,めざめるパワー
ガルーラ,めざめるパワー
タッツー,めざめるパワー
シードラ,めざめるパワー
トサキント,めざめるパワー
アズマオウ,めざめるパワー
ヒトデマン,めざめるパワー
スターミー,めざめるパワー
バリヤード,めざめるパワー
ストライク,めざめるパワー
ルージュラ,めざめるパワー
エレブー,めざめるパワー
ブーバー,めざめるパワー
カイロス,めざめるパワー
ケンタロス,めざめるパワー
ギャラドス,めざめるパワー
ラプラス,めざめるパワー
イーブイ,めざめるパワー
シャワーズ,めざめるパワー
サンダース,めざめるパワー
ブースター,めざめるパワー
ポリゴン,めざめるパワー
オムナイト,めざめるパワー
オムスター,めざめるパワー
カブト,めざめるパワー
カブトプス,めざめるパワー
プテラ,めざめるパワー
カビゴン,めざめるパワー
フリーザー,めざめるパワー
サンダー,めざめるパワー
ファイヤー,めざめるパワー
ミニリュウ,めざめるパワー
ハクリュー,めざめるパワー
カイリュー,めざめるパワー
ミュウツー,めざめるパワー
ミュウ,めざめるパワー
チコリータ,めざめるパワー
ベイリーフ,めざめるパワー
メガニウム,めざめるパワー
ヒノアラシ,めざめるパワー
マグマラシ,めざめるパワー
バクフーン,めざめるパワー
ワニノコ,めざめるパワー
アリゲイツ,めざめるパワー
オーダイル,めざめるパワー
オタチ,めざめるパワー
オオタチ,めざめるパワー
ホーホー,めざめるパワー
ヨルノズク,めざめるパワー
レディバ,めざめるパワー
レディアン,めざめるパワー
イトマル,めざめるパワー
アリアドス,めざめるパワー
クロバット,めざめるパワー
チョンチー,めざめるパワー
ランターン,めざめるパワー
ピチュー,めざめるパワー
ピィ,めざめるパワー
ププリン,めざめるパワー
トゲピー,めざめるパワー
トゲチック,めざめるパワー
ネイティ,めざめるパワー
ネイティオ,めざめるパワー
メリープ,めざめるパワー
モココ,めざめるパワー
デンリュウ,めざめるパワー
キレイハナ,めざめるパワー
マリル,めざめるパワー
マリルリ,めざめるパワー
ウソッキー,めざめるパワー
ニョロトノ,めざめるパワー
ハネッコ,めざめるパワー
ポポッコ,めざめるパワー
ワタッコ,めざめるパワー
エイパム,めざめるパワー
ヒマナッツ,めざめるパワー
キマワリ,めざめるパワー
ヤンヤンマ,めざめるパワー
ウパー,めざめるパワー
ヌオー,めざめるパワー
エーフィ,めざめるパワー
ブラッキー,めざめるパワー
ヤミカラス,めざめるパワー
ヤドキング,めざめるパワー
ムウマ,めざめるパワー
アンノーン,めざめるパワー
キリンリキ,めざめるパワー
クヌギダマ,めざめるパワー
フォレトス,めざめるパワー
ノコッチ,めざめるパワー
グライガー,めざめるパワー
ハガネール,めざめるパワー
ブルー,めざめるパワー
グランブル,めざめるパワー
ハリーセン,めざめるパワー
ハッサム,めざめるパワー
ツボツボ,めざめるパワー
ヘラクロス,めざめるパワー
ニューラ,めざめるパワー
ヒメグマ,めざめるパワー
リングマ,めざめるパワー
マグマッグ,めざめるパワー
マグカルゴ,めざめるパワー
ウリムー,めざめるパワー
イノムー,めざめるパワー
サニーゴ,めざめるパワー
テッポウオ,めざめるパワー
オクタン,めざめるパワー
デリバード,めざめるパワー
マンタイン,めざめるパワー
エアームド,めざめるパワー
デルビル,めざめるパワー
ヘルガー,めざめるパワー
キングドラ,めざめるパワー
ポリゴン2,めざめるパワー
エレキッド,めざめるパワー
ブビィ,めざめるパワー
ミルタンク,めざめるパワー
ハピナス,めざめるパワー
キモリ,めざめるパワー
ジュプトル,めざめるパワー
ジュカイン,めざめるパワー
アチャモ,めざめるパワー
ワカシャモ,めざめるパワー
バシャーモ,めざめるパワー
ミズゴロウ,めざめるパワー
ヌマクロー,めざめるパワー
ラグラージ,めざめるパワー
ポチエナ,めざめるパワー
グラエナ,めざめるパワー
ジグザグマ,めざめるパワー
マッスグマ,めざめるパワー
アゲハント,めざめるパワー
ドクケイル,めざめるパワー
ハスボー,めざめるパワー
ハスブレロ,めざめるパワー
ルンパッパ,めざめるパワー
タネボー,めざめるパワー
コノハナ,めざめるパワー
ダーテング,めざめるパワー
スバメ,めざめるパワー
オオスバメ,めざめるパワー
キャモメ,めざめるパワー
ペリッパー,めざめるパワー
ラルトス,めざめるパワー
キルリア,めざめるパワー
サーナイト,めざめるパワー
アメタマ,めざめるパワー
アメモース,めざめるパワー
キノココ,めざめるパワー
キノガッサ,めざめるパワー
ナマケロ,めざめるパワー
ヤルキモノ,めざめるパワー
ケッキング,めざめるパワー
ツチニン,めざめるパワー
テッカニン,めざめるパワー
ヌケニン,めざめるパワー
ゴニョニョ,めざめるパワー
ドゴーム,めざめるパワー
バクオング,めざめるパワー
マクノシタ,めざめるパワー
ハリテヤマ,めざめるパワー
ルリリ,めざめるパワー
ノズパス,めざめるパワー
エネコ,めざめるパワー
エネコロロ,めざめるパワー
ヤミラミ,めざめるパワー
クチート,めざめるパワー
ココドラ,めざめるパワー
コドラ,めざめるパワー
ボスゴドラ,めざめるパワー
アサナン,めざめるパワー
チャーレム,めざめるパワー
ラクライ,めざめるパワー
ライボルト,めざめるパワー
プラスル,めざめるパワー
マイナン,めざめるパワー
バルビート,めざめるパワー
イルミーゼ,めざめるパワー
ロゼリア,めざめるパワー
ゴクリン,めざめるパワー
マルノーム,めざめるパワー
キバニア,めざめるパワー
ホエルコ,めざめるパワー
ホエルオー,めざめるパワー
ドンメル,めざめるパワー
バクーダ,めざめるパワー
コータス,めざめるパワー
バネブー,めざめるパワー
ブーピッグ,めざめるパワー
パッチール,めざめるパワー
ナックラー,めざめるパワー
ビブラーバ,めざめるパワー
フライゴン,めざめるパワー
サボネア,めざめるパワー
ノクタス,めざめるパワー
チルット,めざめるパワー
チルタリス,めざめるパワー
ザングース,めざめるパワー
ハブネーク,めざめるパワー
ルナトーン,めざめるパワー
ソルロック,めざめるパワー
ドジョッチ,めざめるパワー
ナマズン,めざめるパワー
ヘイガニ,めざめるパワー
シザリガー,めざめるパワー
ヤジロン,めざめるパワー
ネンドール,めざめるパワー
リリーラ,めざめるパワー
ユレイドル,めざめるパワー
アノプス,めざめるパワー
アーマルド,めざめるパワー
ヒンバス,めざめるパワー
ミロカロス,めざめるパワー
ポワルン,めざめるパワー
カクレオン,めざめるパワー
カゲボウズ,めざめるパワー
ジュペッタ,めざめるパワー
ヨマワル,めざめるパワー
サマヨール,めざめるパワー
トロピウス,めざめるパワー
チリーン,めざめるパワー
アブソル,めざめるパワー
ユキワラシ,めざめるパワー
オニゴーリ,めざめるパワー
タマザラシ,めざめるパワー
トドグラー,めざめるパワー
トドゼルガ,めざめるパワー
パールル,めざめるパワー
ハンテール,めざめるパワー
サクラビス,めざめるパワー
ジーランス,めざめるパワー
ラブカス,めざめるパワー
タツベイ,めざめるパワー
コモルー,めざめるパワー
ボーマンダ,めざめるパワー
メタング,めざめるパワー
メタグロス,めざめるパワー
レジロック,めざめるパワー
レジアイス,めざめるパワー
レジスチル,めざめるパワー
ラティアス,めざめるパワー
ラティオス,めざめるパワー
カイオーガ,めざめるパワー
グラードン,めざめるパワー
レックウザ,めざめるパワー
ジラーチ,めざめるパワー
デオキシス,めざめるパワー
ズガイドス,めざめるパワー
ラムパルド,めざめるパワー
タテトプス,めざめるパワー
トリデプス,めざめるパワー
ミノムッチ,めざめるパワー
ミノマダム（くさきのミノ）,めざめるパワー
ミノマダム（ゴミのミノ）,めざめるパワー
ミノマダム（すなちのミノ）,めざめるパワー
ガーメイル,めざめるパワー
カラナクシ,めざめるパワー
トリトドン,めざめるパワー
フワンテ,めざめるパワー
フワライド,めざめるパワー
ムウマージ,めざめるパワー
ドンカラス,めざめるパワー
ウソハチ,めざめるパワー
ピンプク,めざめるパワー
フカマル,めざめるパワー
ガバイト,めざめるパワー
ガブリアス,めざめるパワー
ゴンベ,めざめるパワー
リオル,めざめるパワー
ルカリオ,めざめるパワー
ケイコウオ,めざめるパワー
ネオラント,めざめるパワー
マニューラ,めざめるパワー
ジバコイル,めざめるパワー
エレキブル,めざめるパワー
ブーバーン,めざめるパワー
リーフィア,めざめるパワー
グレイシア,めざめるパワー
ポリゴンZ,めざめるパワー
ダイノーズ,めざめるパワー
ユキメノコ,めざめるパワー
ウォッシュロトム,めざめるパワー
カットロトム,めざめるパワー
スピンロトム,めざめるパワー
ヒートロトム,めざめるパワー
フロストロトム,めざめるパワー
ロトム,めざめるパワー
シェイミ（ランドフォルム）,めざめるパワー
ヨーテリー,めざめるパワー
ハーデリア,めざめるパワー
ムーランド,めざめるパワー
ダンゴロ,めざめるパワー
ガントル,めざめるパワー
ギガイアス,めざめるパワー
モンメン,めざめるパワー
エルフーン,めざめるパワー
チュリネ,めざめるパワー
ドレディア,めざめるパワー
メグロコ,めざめるパワー
ワルビル,めざめるパワー
プロトーガ,めざめるパワー
アバゴーラ,めざめるパワー
アーケン,めざめるパワー
アーケオス,めざめるパワー
ヤブクロン,めざめるパワー
ダストダス,めざめるパワー
ユニラン,めざめるパワー
ダブラン,めざめるパワー
ランクルス,めざめるパワー
バニプッチ,めざめるパワー
バニリッチ,めざめるパワー
バイバニラ,めざめるパワー
エモンガ,めざめるパワー
ママンボウ,めざめるパワー
リグレー,めざめるパワー
オーベム,めざめるパワー
ワシボン,めざめるパワー
ウォーグル,めざめるパワー
バルチャイ,めざめるパワー
バルジーナ,めざめるパワー
キュレム（ブラックキュレム）,めざめるパワー
キュレム（ホワイトキュレム）,めざめるパワー
メロエッタ(ステップフォルム),めざめるパワー
メロエッタ（ボイスフォルム),めざめるパワー
ヤヤコマ,めざめるパワー
ヒノヤコマ,めざめるパワー
ファイアロー,めざめるパワー
ヤンチャム,めざめるパワー
ゴロンダ,めざめるパワー
ギルガルド（シールドフォルム）,めざめるパワー
ギルガルド（ブレードフォルム）,めざめるパワー
ニンフィア,めざめるパワー
デデンネ,めざめるパワー
メレシー,めざめるパワー
ヌメラ,めざめるパワー
ヌメイル,めざめるパワー
ヌメルゴン,めざめるパワー
クレッフィ,めざめるパワー
ボクレー,めざめるパワー
オーロット,めざめるパワー
ジガルデ（10％フォルム）,めざめるパワー
ジガルデ（50％フォルム）,めざめるパワー
ジガルデ（パーフェクトフォルム）,めざめるパワー
モクロー,めざめるパワー
フクスロー,めざめるパワー
ジュナイパー,めざめるパワー
ニャビー,めざめるパワー
ニャヒート,めざめるパワー
ガオガエン,めざめるパワー
アシマリ,めざめるパワー
オシャマリ,めざめるパワー
アシレーヌ,めざめるパワー
ツツケラ,めざめるパワー
ケララッパ,めざめるパワー
ドデカバシ,めざめるパワー
ヤングース,めざめるパワー
デカグース,めざめるパワー
アゴジムシ,めざめるパワー
デンヂムシ,めざめるパワー
クワガノン,めざめるパワー
マケンカニ,めざめるパワー
ケケンカニ,めざめるパワー
オドリドリ（ぱちぱちスタイル）,めざめるパワー
オドリドリ（ふらふらスタイル）,めざめるパワー
オドリドリ（まいまいスタイル）,めざめるパワー
オドリドリ（めらめらスタイル）,めざめるパワー
アブリー,めざめるパワー
アブリボン,めざめるパワー
イワンコ,めざめるパワー
ルガルガン（たそがれのすがた）,めざめるパワー
ルガルガン（まひるのすがた）,めざめるパワー
ルガルガン（まよなかのすがた）,めざめるパワー
ヨワシ（たんどくのすがた）,めざめるパワー
ヨワシ（むれのすがた）,めざめるパワー
ヒドイデ,めざめるパワー
ドヒドイデ,めざめるパワー
ドロバンコ,めざめるパワー
バンバドロ,めざめるパワー
シズクモ,めざめるパワー
オニシズクモ,めざめるパワー
カリキリ,めざめるパワー
ラランテス,めざめるパワー
ネマシュ,めざめるパワー
マシェード,めざめるパワー
ヤトウモリ,めざめるパワー
エンニュート,めざめるパワー
ヌイコグマ,めざめるパワー
キテルグマ,めざめるパワー
アマカジ,めざめるパワー
アママイコ,めざめるパワー
アマージョ,めざめるパワー
キュワワー,めざめるパワー
ヤレユータン,めざめるパワー
ナゲツケサル,めざめるパワー
コソクムシ,めざめるパワー
グソクムシャ,めざめるパワー
スナバァ,めざめるパワー
シロデスナ,めざめるパワー
タイプ:ヌル,めざめるパワー
シルヴァディ,めざめるパワー
メテノ,めざめるパワー
メテノ（中身）,めざめるパワー
ネッコアラ,めざめるパワー
バクガメス,めざめるパワー
トゲデマル,めざめるパワー
ミミッキュ,めざめるパワー
ハギギシリ,めざめるパワー
ジジーロン,めざめるパワー
ダダリン,めざめるパワー
ジャラコ,めざめるパワー
ジャランゴ,めざめるパワー
ジャラランガ,めざめるパワー
カプ・コケコ,めざめるパワー
カプ・テテフ,めざめるパワー
カプ・ブルル,めざめるパワー
カプ・レヒレ,めざめるパワー
ソルガレオ,めざめるパワー
ルナアーラ,めざめるパワー
ウツロイド,めざめるパワー
マッシブーン,めざめるパワー
フェローチェ,めざめるパワー
デンジュモク,めざめるパワー
テッカグヤ,めざめるパワー
カミツルギ,めざめるパワー
アクジキング,めざめるパワー
ネクロズマ,めざめるパワー
マギアナ,めざめるパワー
マーシャドー,めざめるパワー
べべノム,めざめるパワー
アーゴヨン,めざめるパワー
ツンデツンデ,めざめるパワー
ズガドーン,めざめるパワー
ガーディ,もえつきる
ウインディ,もえつきる
ヒノアラシ,もえつきる
マグマラシ,もえつきる
バクフーン,もえつきる
ポカブ,もえつきる
チャオブー,もえつきる
エンブオー,もえつきる
マグマッグ,やきつくす
マグカルゴ,やきつくす
ビクティニ,やきつくす
バオップ,やきつくす
ダルマッカ,やきつくす
ヒヒダルマ,やきつくす
クイタラン,やきつくす
バクガメス,やきつくす
バタフリー,ゆめくい
ピッピ,ゆめくい
ピクシー,ゆめくい
アローラキュウコン,ゆめくい
キュウコン,ゆめくい
プリン,ゆめくい
プクリン,ゆめくい
アローラニャース,ゆめくい
ニャース,ゆめくい
アローラペルシアン,ゆめくい
ペルシアン,ゆめくい
ケーシィ,ゆめくい
ユンゲラー,ゆめくい
フーディン,ゆめくい
ヤドン,ゆめくい
ヤドラン,ゆめくい
ゴース,ゆめくい
ゴースト,ゆめくい
ゲンガー,ゆめくい
スリープ,ゆめくい
スリーパー,ゆめくい
タマタマ,ゆめくい
アローラナッシー,ゆめくい
ナッシー,ゆめくい
アローラガラガラ,ゆめくい
ベロリンガ,ゆめくい
ラッキー,ゆめくい
スターミー,ゆめくい
バリヤード,ゆめくい
ルージュラ,ゆめくい
ラプラス,ゆめくい
ポリゴン,ゆめくい
ミュウツー,ゆめくい
ホーホー,ゆめくい
ヨルノズク,ゆめくい
ピィ,ゆめくい
ププリン,ゆめくい
トゲピー,ゆめくい
トゲチック,ゆめくい
ネイティ,ゆめくい
ネイティオ,ゆめくい
エイパム,ゆめくい
ヤンヤンマ,ゆめくい
エーフィ,ゆめくい
